CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
510,extension,12461,DELHI-JODHPUR MANDORE EXPRESS,,BARMER,,18.12.2019
510,extension,12462,BARMER-DELHI MANDORE EXPRESS,,DELHI,,18.12.2019
454,stoppage,12113/12114,Pune-Nagpur Garib Rath Express,,,Dhamangaon,20.09.2019
466,introduction,79406,Vadnagar - Mahesana DEMU Except Sun,Vadnagar,Mahesana,,11.10.2019
466,introduction,79405,Mahesana - Vadnagar DEMU Except Sun,Mahesana,Vadnagar,,11.10.2019
466,introduction,79402,Himmatnagar - Asarva DEMU Except Sun,Himmatnagar,Asarva,,11.10.2019
466,introduction,79401 ,Asarva Himmatnagar DEMU Except Sun,Asarva,Himmatnagar,,11.10.2019
466,introduction,76802 ,Karur - Salem DEMU,Karur,Salem,,11.10.2019
466,introduction,55606,Murkongselek - Dibrugarh Passenger,Murkongselek,Dibrugarh,,11.10.2019
466,introduction,76527,Yesvantpur - Tumkur DEMU,Yesvantpur,Tumkur,,11.10.2019
466,introduction,51917,Delhi - Shamli Passenger,Delhi,Shamli,,11.10.2019
466,introduction,18423,Bhubaneswar - Nayagarh Town Express,Bhubaneswar,Nayagarh Town,,11.10.2019
466,introduction,51614,Kota - Jhalawar City Passenger,Kota,Jhalawar City,,11.10.2019
466,introduction,56610,Palani- Coimbatore Passenger,Palani,Coimbatore,,11.10.2019
466,introduction,56183,Coimbatore Pollachi Passenger,Coimbatore,Pollachi,,11.10.2019
494,stoppage,18477/78,Puri-Haridwar Utkal Kalinga Express,,,Sakhoti Tanda,21.11.2019
494,stoppage,19031/32,Ahmedabad-Haridwar Yoga Express,,,Sakhoti Tanda,21.11.2019
494,stoppage,14645/46,Delhi-Jammu Tawi Shalimar Express,,,Sakhoti Tanda,21.11.2019
494,stoppage,14681/82,New Delhi-Jalandhar Express,,,Sakhoti Tanda,21.11.2019
494,stoppage,12903/04,Mumbai Central-Amritsar Golden Temple Mail,,,Sakhoti Tanda,21.11.2019
494,stoppage,14521/22,Delhi-Ambala Express,,,Sakhoti Tanda,21.11.2019
473,introduction,79603,JAIPUR-SIKAR PASSENGER,JAIPUR,SIKAR,,18.10.2019
473,introduction,79604,SIKAR-JAIPUR PASSENGER,SIKAR,JAIPUR,,18.10.2019
504,introduction,13063,HOWRAH-BALURGHAT EXPRESS,HOWRAH,BALURGHAT,,11.12.2019
504,introduction,13064,BALURGHAT-HOWRAH EXPRESS,BALURGHAT,HOWRAH,,11.12.2019
488,extension,15205,LUCKNOW-JABALPUR EXPRESS,,MADAN MAHAL,,13.11.2019
488,extension,15206,JABALPUR-LUCKNOW EXPRESS,,MADAN MAHAL,,13.11.2019
488,extension,22190,REWA-JABALPUR EXPRESS,,MADAN MAHAL,,13.11.2019
488,extension,22189,JABALPUR-REWA EXPRESS,,MADAN MAHAL,,13.11.2019
488,extension,11651,JABALPUR-SINGRAULI EXPRESS,,MADAN MAHAL,,13.11.2019
488,extension,11652,SINGRAULI-JABALPUR EXPRESS,,MADAN MAHAL,,13.11.2019
488,extension,11265,JABALPUR-AMBIKAPUR EXPRESS,,MADAN MAHAL,,13.11.2019
488,extension,11266,AMBIKAPUR-JABALPUR EXPRESS,,MADAN MAHAL,,13.11.2019
488,extension,22187,HABIBGANJ-JABALPUR EXPRESS,,ADHARTAL,,13.11.2019
488,extension,22188,JABALPUR-HABIBGANJ EXPRESS,,ADHARTAL,,13.11.2019
485,extension,13147,SEALDAH -BAMANHAT UTTAR BANGA EXPRESS,,BAMANHAT,,13.11.2019
485,extension,13148,BAMANHAT- SEALDAH UTTAR BANCA EXPRESS,,BAMANHAT,,13.11.2019
521,extension,19305,KAMAKHYA INDORE EXPRESS,,DR. AMBEDKAR NAGAR,,31.12.2019
521,extension,19306,INDORE EXPRESS,,DR. AMBEDKAR NAGAR,,31.12.2019
521,extension,12923,INDORE EXPRESS,,DR. AMBEDKAR NAGAR,,31.12.2019
521,extension,12924,NAGPUR EXPRESS,,DR. AMBEDKAR NAGAR,,31.12.2019
501,stoppage,75215/16,Raxaul-Patliputra DEMU,,,Dhang,12.11.2019
478,stoppage,11109/10,Jhansi-Lucknow Jn. Express,,,Mustra,31.10.2019
500,extension,22101,CSMT-Manmad Rajya Rani Express,,H.S. Nanded,,02.01.2020
500,extension,22102,CSMT-Manmad Rajya Rani Express,,H.S. Nanded,,02.01.2020
493,introduction,18117/18,Rourkela-Gunupur Rajya Rani Express,Rourkela,Gunupur,,20.11.2019
482,extension,54604,LUDHIANA- RATANGARH PASSENGER,,RATANGARH,,08.12.2019
482,extension,54605,RATANGARH LUDHIANA- PASSENGER,,RATANGARH,,08.12.2019
475,introduction,14021/22,DELHI S ROHILLA- JAIPUR EXPRESS,DELHI S ROHILLA,JAIPUR,,30.10.2019
475,introduction,19707/08,BANDRA (T)-JAIPUR AMRAPUR ARAVALI EXPRESS,BANDRA (T),SRI GANGANAGAR,,30.10.2019
475,introduction,14715/16,SIKAR- SRI GANGANAGAR EXPRESS,SIKAR,SRI GANGANAGAR,,30.10.2019
475,introduction,74861/62,CHURU-JAIPUR PASSENGER,CHURU,JAIPUR,,30.10.2019
508,extension,12771,SECUNDERABAD RAIPUR EXPRESS,,RAIPUR,,17.12.2019
508,extension,12772,RAIPUR- SECUNDERABAD EXPRESS,,RAIPUR,,17.12.2019
517,extension,58429,KHURDA ROAD-NAYAGARH TOWN PASSENGER,,MAHIPUR,,20.12.2019
517,extension,58430,KHURDA ROAD-NAYAGARH TOWN PASSENGER,,MAHIPUR,,20.12.2019
517,extension,58431,KHURDA ROAD-NAYAGARH TOWN PASSENGER,,MAHIPUR,,20.12.2019
517,extension,58432,KHURDA ROAD-NAYAGARH TOWN PASSENGER,,MAHIPUR,,20.12.2019
446,stoppage,15021/15022,Shalimar-Gorakhpur Express,,,Mohuda,12.09.2019
477,stoppage,16101/02,Chennai Egmore-Kollam Express,,,Auvaneeswaram,31.10.2019
481,extension,15069,GORAKHPUR- AISHBAGH EXPRESS,,AISHBAGH,,08.11.2019
481,extension,15070,AISHBAGH- GORAKHPUR EXPRESS,,AISHBAGH,,08.11.2019
498,introduction,55579,DARBHANGA-MANDAN MISHRA-JHANJHARPUR PASSENGER,DARBHANGA,JHANJHARPUR,,26.11.2019
498,introduction,55580,JHANJHARPUR-MANDAN MISHRA-DARBHANGA PASSENGER,JHANJHARPUR,DARBHANGA,,26.11.2019
467,extension,18635,RANCHI - SASARAM EXPRESS,,SASARAM,,14.10.2019
467,extension,18636,SASARAM - RANCHI EXPRESS,,SASARAM,,14.10.2019
449,introduction,None,53562 PRAYAHAT-DUMKA PASSENGER,DUMKA,PRAYAHAT Poseyahat,,16.09.2019
451,extension,17325,HUBBALLI- ASHOKAPURAM VISHWAMANAVA EXPRESS,,BELAGAVI,,19.09.2019
451,extension,17326,ASHOKAPURAM- BELAGAVI EXPRESS,,BELAGAVI,,19.09.2019
480,stoppage,14545/46,Farrukhanagar-Saharanpur Express,,,Nanauta,06.11.2019
518,stoppage,22479/80,New Delhi-Lohian Khas Sarbat Da Bhala Express,,,Lehra Gaga,24.12.2019
484,introduction,22911/22912,Indore-Howrah Shipra Express,Indore,Howrah,,11.11.2019
448,introduction,17313/17314,HUBBALLI-MGR CHENNAI EXPRESS,HUBBALLI,MGR CHENNAI,,13.09.2019
458,introduction,22439,NEW DELHI- SHRI MATA VAISHNO DEVI KATRA VANDE BHARAT EXPRESS,NEW DELHI,SHRI MATA VAISHNO DEVI KATRA,,27.09.2019
458,introduction,22440,SHRI MATA VAISHNO DEVI KATRA - NEW DELHI VANDE BHARAT EXPRESS,SHRI MATA VAISHNO DEVI KATRA,NEW DELHI,,27.09.2019
472,stoppage,12465/66,Indore-Jodhpur Ranthambore Express,,,Ren,21.10.2019
468,stoppage,16311/12,Sri Ganganagar-Kochuveli Express,,,Kundapura,16.10.2019
468,stoppage,22149/50,Pune-Ernakulam Express,,,Kundapura,16.10.2019
450,introduction,None,YESVANTPUR- TUMKURU DEMU,YESVANTPUR,TUMKURU,,19.09.2019
450,introduction,None,TUMKURU-YESVANTPUR DEMU,TUMKURU,YESVANTPUR,,19.09.2019
492,introduction,12089/90,Shivamogga Town-Yesvantpur Janshatabdi Express,Shivamogga Town,Yesvantpur,,20.11.2019
486,extension,12175,Howrah-Gwalior Chambal Express,,Agra Cantt,,11.11.2019
486,extension,12176,GWL- HWH EXE,,Agra Cantt,,11.11.2019
486,extension,20975,HWH-AGC EXP.,,Agra Cantt,,11.11.2019
486,extension,20976,AGC EXP.,,Agra Cantt,,11.11.2019
453,stoppage,22137/22138,Ahmedabad-Nagpur Prerna Exp.,,,Dondaicha,20.09.2019
452,stoppage,14207/14208,Pratapgarh-Delhi Padmavat Express,,,Antu,19.09.2019
452,stoppage,14201/14202,Jaunpur-Rae Barelly Express,,,Antu,19.09.2019
447,stoppage,13429/13430,Malda Town-Anand Vihar Express,,,Barharwa,12.09.2019
497,introduction,55579/55580,Darbhanga-Mandan Mishra Passenger,Darbhanga,Mandan Mishra halt,,28.11.2019
497,introduction,None,SAHARSA-GARH BARUARI- SUPAUL PASSENGER,SAHARSA,SUPAUL,,28.11.2019
497,introduction,None,SUPAUL-GARH BARUARI -. SAHARSA PASSENGER,SUPAUL,SAHARSA,,28.11.2019
463,stoppage,16217/16218,Mysuru-Sainagar Shirdi Express,,,Badami,09.10.2019
463,stoppage,11139/11140,CSMT-Gadag Express,,,Badami,09.10.2019
463,stoppage,12779/12780,Vasco-Da-Gama-H. Nizamuddin Express,,,Kudachi,09.10.2019
503,stoppage,17317/18,Hubballi-Lokmanya Tilak (T) Express,,,Raybag,10.12.2019
503,stoppage,11021/22,Dadar-Tirunelveli Chalukya Express,,,Raybag,10.12.2019
503,stoppage,11005/06,Dadar-Puducherry Chalukya Express,,,Raybag,10.12.2019
461,stoppage,22479/22480,New Delhi-Lohian Khas Sarbat Da Bhala Express,,,Kapurthala,03.10.2019
