CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
160,introduction,47253,GHATKESAR- LINGAMPALLI,GHATKESAR,LINGAMPALLI,,01.03.2024
160,introduction,47254,LINGAMPALLI- GHATKESAR,LINGAMPALLI,GHATKESAR,,01.03.2024
208,introduction,None,KHANDWA- SANAWAD MEMU SPECIAL,KHANDWA,SANAWAD,,08.03.2024
208,introduction,None,SANAWAD- KHANDWA MEMU SPECIAL,SANAWAD,KHANDWA,,08.03.2024
24,stoppage,19217/18,Bandra (T)-Veraval Saurashtra Janta Express,,,Navagadh,12.01.2024
106,stoppage,15557/15558,Darbhanga-Anand Vihar Amrit Bharat Express,,,Harinagar,16.02.2024
106,stoppage,15557/15558,Darbhanga-Anand Vihar Amrit Bharat Express,,,Sikta,16.02.2024
22,extension,12582,NEW DELHI-BALLIA EXPRESS,,BALLIA,,12.01.2024
22,extension,12581,BANARAS-NEW DELHI EXPRESS,,BALLIA,,12.01.2024
233,extension,06009,METTUPALAYAM- COIMBATORE- PODANUR MEMU,,PODANUR,,15.03.2024
233,extension,06812,PODANUR-COIMBATORE- METTUPALAYAM MEMU,,PODANUR,,15.03.2024
233,extension,06815,PODANUR-COIMBATORE- METTUPALAYAM MEMU,,PODANUR,,15.03.2024
233,extension,06816,PODANUR-COIMBATORE- METTUPALAYAM MEMU,,PODANUR,,15.03.2024
233,extension,06822,METTUPALAYAM- COIMBATORE- PODANUR MEMU,,PODANUR,,15.03.2024
233,extension,06823,PODANUR-COIMBATORE- METTUPALAYAM MEMU,,PODANUR,,15.03.2024
147,stoppage,20957/58,Indore-New Delhi Express,,,Khachrod,01.03.2024
147,stoppage,12925/26,Mumbai Central-Amritsar Paschim Express,,,Khachrod,01.03.2024
147,stoppage,19711/12,Jaipur-Bhopal Express,,,Tarana Road,01.03.2024
240,introduction,18629,RANCHI-GORAKHPUR EXPRESS,RANCHI,GORAKHPUR,,15.03.2024
240,introduction,18630,GORAKHPUR-RANCHI EXPRESS,GORAKHPUR,RANCHI,,15.03.2024
130,stoppage,22911/22912,Indore-Howrah Shipra Express,,,Dabhaura,23.02.2024
91,introduction,75706,SILIGURI- RADHIKAPUR DEMU,SILIGURI,RADHIKAPUR,,16.02.2024
91,introduction,75705,RADHIKAPUR- SILIGURI DEMU,RADHIKAPUR,SILIGURI,,16.02.2024
90,introduction,04489,ROHTAK- HANSI PASSENGER,ROHTAK,HANSI,,14.02.2024
90,introduction,04490,HANSI- ROHTAK PASSENGER,HANSI,ROHTAK,,14.02.2024
90,introduction,04487,ROHTAK- HANSI PASSENGER,ROHTAK,HANSI,,14.02.2024
90,introduction,04488,HANSI- ROHTAK PASSENGER,HANSI,ROHTAK,,14.02.2024
96,stoppage,01437/01438,Solapur-Tirupati Special,,,Kamalapur,16.02.2024
5,stoppage,03293/03294,Patna-Pt. Deen Dayal Upadhyaya MEMU,,,Pali Halt,02.01.2024
5,stoppage,03375/03376,Buxar-Patna MEMU,,,Pali Halt,02.01.2024
88,stoppage,16583/16584,Yesvantpur-Latur Express,,,Kamalnagar,14.02.2024
238,stoppage,13201/13202,Patna-Lokmanya Tilak (T) Express,,,Raghunathpur,15.03.2024
238,stoppage,19313/19314,Indore-Patna Express,,,Buxar,15.03.2024
238,stoppage,12333/12334,Howrah-Prayagraj Rambag Vibhuti Express,,,Chausa,15.03.2024
238,stoppage,14223/14224,Rajgir-Varanasi Budhpurnima Express,,,Karamnasa,15.03.2024
200,stoppage,12149 /12150,Danapur-Pune Express,,,Khirkia,09.03.2024
200,stoppage,17020,Hyderabad-Ajmer Express,,,Khirkia,09.03.2024
200,stoppage,19483/19484,Ahmedabad-Barauni Express,,,Khirkia,09.03.2024
198,stoppage,14319/14320,Indore-Bareilly Express,,,Babrala,09.03.2024
198,stoppage,18237/18238,Korba/Bilaspur-Amritsar Chattisgarh Express,,,Dhaura,09.03.2024
198,stoppage,11123/11124,Gwalior-Barauni Express,,,Ekma,09.03.2024
198,stoppage,19609,Udaipur-Yog Nagari Rishikesh Express,,,Kandhla,09.03.2024
198,stoppage,01622,Saharanpur-Delhi Special,,,Sona Arjunpur,09.03.2024
198,stoppage,14305/14306,Delhi-Haridwar Express,,,Sona Arjunpur,09.03.2024
198,stoppage,14545/14546,Delhi-Saharanpur Express,,,Sona Arjunpur,09.03.2024
101,stoppage,12807/12808,Vishakapatnam - H. Nizamuddin Express,,,Morena,16.02.2024
118,stoppage,16217/16218,Mysuru-Sainagar Shirdi Express,,,Almatti,20.02.2024
118,stoppage,16587/16588,Yesvantpur-Bikaner Express,,,Almatti,20.02.2024
118,stoppage,11139/11140,Mumbai CSMT-Hosapete Express,,,Almatti,20.02.2024
241,extension,13413,MALDA TOWN- BATHINDA FARAKKA EXPRESS,,BALURGHAT,,15.03.2024
241,extension,13483,MALDA TOWN-BATHINDA FARAKKA EXPRESS,,BALURGHAT,,15.03.2024
26,stoppage,20977/20978,AJMER-DELHI CANTT. VANDE BHARAT EXPRESS,,,Gandhinagar Jaipur,12.01.2024
102,stoppage,13242,Rajendra Nagar-Banka Express,,,Abhaipur,16.02.2024
188,introduction,20663,MYSURU - MGR CHENNAI CENTRAL VANDE BHARAT EXPRESS,MYSURU,MGR CHENNAI CENTRAL,,15.03.2024
